Z N A b2 Qb T12cal T12exp 
81 132 213 0.00 4.988 8.240E+00 6.000E+01 
57 93 150 0.31 8.717 2.843E-01 5.100E-01 
38 60 98 0.44 5.872 4.366E-01 6.530E-01 
42 75 117 0.00 12.212 2.171E-02 2.200E-02 
15 21 36 -0.07 10.413 9.293E+00 5.600E+00 
37 63 100 0.42 13.574 2.208E-02 4.800E-02 
37 57 94 -0.21 10.283 2.293E-01 2.702E+00 
11 15 26 -0.14 9.354 2.798E+00 1.071E+00 
20 29 49 0.03 5.261 1.778E+01 5.231E+02 
50 89 139 0.02 11.348 6.341E-02 1.300E-01 
45 73 118 0.01 10.502 3.294E-01 2.850E-01 
51 83 134 0.04 8.513 1.580E+01 7.800E-01 
54 89 143 0.19 7.473 3.058E-01 5.110E-01 
16 26 42 0.29 7.194 2.707E+00 1.013E+00 
57 88 145 0.19 4.232 6.265E+00 2.480E+01 
11 22 33 0.41 18.818 4.309E-03 8.200E-03 
29 50 79 0.05 11.692 1.790E-01 2.200E-01 
67 101 168 0.35 2.930 1.795E+02 1.794E+02 
66 101 167 0.35 2.350 6.931E+01 3.720E+02 
49 83 132 0.03 14.135 2.975E-01 1.980E-01 
60 95 155 0.35 4.656 2.351E+00 8.900E+00 
77 119 196 -0.12 3.210 1.380E+02 5.200E+01 
39 59 98 0.47 8.992 1.098E+00 5.480E-01 
40 69 109 0.38 10.497 1.544E-02 5.600E-02 
43 69 112 -0.23 10.372 4.079E-02 3.230E-01 
69 105 174 0.32 3.080 8.828E+01 3.240E+02 
44 75 119 0.00 10.259 1.085E-01 6.950E-02 
41 62 103 -0.21 5.932 1.643E-01 1.500E+00 
58 89 147 0.21 3.430 1.715E+01 5.640E+01 
24 41 65 -0.04 12.747 4.552E-02 2.750E-02 
62 96 158 0.35 2.005 1.074E+02 3.180E+02 
69 108 177 0.31 3.517 9.174E+00 9.000E+01 
30 51 81 0.09 11.428 1.566E-01 3.040E-01 
31 50 81 0.03 8.664 6.282E-01 1.217E+00 
25 35 60 0.21 8.445 3.827E+00 2.800E-01 
43 77 120 0.02 14.494 2.476E-02 2.100E-02 
30 45 75 0.18 5.906 3.833E+00 1.020E+01 
38 61 99 0.43 8.129 1.653E-01 2.690E-01 
46 81 127 0.03 11.260 8.539E-01 3.800E-02 
25 43 68 0.06 15.107 2.928E-02 2.840E-02 
34 56 90 0.22 8.200 6.597E-02 2.100E-01 
15 20 35 0.00 3.988 1.493E+02 4.730E+01 
28 42 70 0.00 3.762 1.282E+01 6.000E+00 
87 140 227 0.20 2.504 1.558E+01 1.482E+02 
40 67 107 0.40 9.344 4.946E-02 1.500E-01 
19 30 49 -0.09 11.689 3.397E-01 1.260E+00 
41 61 102 0.39 7.261 3.340E+00 4.300E+00 
11 21 32 -0.06 19.469 1.058E-02 1.290E-02 
69 106 175 0.32 2.385 7.732E+01 9.120E+02 
45 81 126 0.03 14.560 1.276E-01 1.900E-02 
47 80 127 0.02 10.307 1.154E-01 8.900E-02 
61 97 158 0.37 6.161 2.512E+00 4.800E+00 
40 66 106 -0.22 7.653 9.718E-02 1.750E-01 
47 70 117 -0.05 4.236 1.246E+01 7.360E+01 
39 68 107 0.43 12.016 1.626E-02 3.350E-02 
46 75 121 0.04 8.221 4.888E-01 2.900E-01 
26 42 68 0.00 8.444 4.724E-01 1.880E-01 
33 46 79 0.17 2.281 6.270E+02 5.406E+02 
59 90 149 0.31 3.336 2.218E+01 1.356E+02 
42 67 109 -0.23 7.617 2.777E-01 7.000E-01 
44 64 108 -0.22 1.371 9.443E+02 2.730E+02 
14 20 34 0.00 4.592 2.092E+01 2.770E+00 
28 48 76 0.00 9.346 1.085E-01 2.360E-01 
14 28 42 -0.32 15.460 3.477E-03 1.250E-02 
48 71 119 0.05 3.722 3.456E+01 1.614E+02 
40 63 103 0.42 7.214 3.468E-01 1.380E+00 
54 92 146 0.22 7.355 1.401E-01 1.460E-01 
66 102 168 0.34 1.501 3.451E+02 5.220E+02 
77 124 201 -0.07 3.844 4.489E+00 2.100E+01 
45 74 119 0.03 8.585 3.238E-01 1.900E-01 
56 93 149 0.30 7.100 3.785E-01 3.440E-01 
35 52 87 0.11 6.818 2.563E+00 5.565E+01 
44 63 107 0.29 3.001 1.389E+02 2.250E+02 
49 87 136 0.03 15.389 6.667E-02 8.500E-02 
89 141 230 0.23 2.975 1.174E+02 1.220E+02 
20 32 52 0.00 6.177 3.493E+00 4.600E+00 
43 65 108 -0.23 7.738 5.646E-01 5.170E+00 
21 37 58 -0.05 16.234 5.950E-02 1.200E-02 
14 23 37 0.27 12.424 1.506E-01 9.000E-02 
73 113 186 0.23 3.901 2.094E+01 6.300E+02 
45 76 121 0.02 9.932 1.440E-01 7.600E-02 
27 46 73 0.12 12.690 5.987E-02 4.100E-02 
35 51 86 0.08 7.634 1.335E+01 5.510E+01 
18 29 47 -0.14 10.346 5.906E-01 1.230E+00 
45 68 113 -0.23 4.823 2.395E+00 2.800E+00 
52 85 137 0.03 7.052 9.030E-01 2.490E+00 
72 113 185 0.24 3.074 1.772E+01 2.100E+02 
24 38 62 0.00 7.629 1.385E-01 2.060E-01 
36 61 97 -0.28 11.096 1.553E-02 6.220E-02 
78 123 201 0.00 2.660 2.401E+01 1.500E+02 
26 37 63 -0.04 6.215 6.115E+00 6.100E+00 
81 128 209 0.00 3.970 6.273E+01 1.297E+02 
45 63 108 0.26 4.492 2.545E+02 1.680E+01 
18 27 45 0.12 6.845 7.880E+00 2.148E+01 
47 84 131 0.02 14.839 2.529E-02 3.500E-02 
86 140 226 0.20 1.226 2.384E+02 4.440E+02 
11 20 31 0.00 15.368 3.715E-02 1.700E-02 
10 20 30 0.00 14.805 1.004E-02 7.300E-03 
89 145 234 0.25 4.228 9.562E+00 4.500E+01 
28 44 72 0.00 5.557 1.890E+00 1.570E+00 
51 84 135 0.04 8.039 1.301E+00 1.679E+00 
45 66 111 -0.23 3.682 1.152E+01 1.100E+01 
13 24 37 0.34 16.382 8.733E-03 1.070E-02 
29 43 72 0.08 8.362 4.848E+00 6.630E+00 
27 35 62 0.16 5.322 3.843E+01 9.240E+01 
36 57 93 0.22 8.484 5.291E-02 1.286E+00 
20 34 54 0.00 8.730 4.360E-01 9.000E-02 
41 60 101 -0.21 4.629 5.193E+00 7.100E+00 
33 55 88 0.21 13.164 3.419E-02 2.700E-01 
36 56 92 0.20 6.003 3.970E-01 1.840E+00 
49 84 133 0.03 13.410 8.010E-02 1.630E-01 
57 86 143 0.15 3.435 2.557E+01 8.520E+02 
71 110 181 0.28 2.606 3.809E+01 2.100E+02 
24 31 55 0.23 2.602 8.803E+02 2.098E+02 
50 83 133 -0.02 8.050 4.218E-01 1.460E+00 
79 126 205 0.00 3.518 5.979E+00 3.250E+01 
30 44 74 0.14 2.293 3.068E+02 9.560E+01 
41 70 111 -0.21 11.065 2.016E-02 5.400E-02 
66 103 169 0.35 3.200 7.703E+00 3.900E+01 
35 54 89 0.16 8.262 7.660E-01 4.400E+00 
41 58 99 -0.20 3.635 3.359E+01 1.500E+01 
31 44 75 0.18 3.392 7.426E+01 1.260E+02 
65 99 164 0.35 3.890 3.004E+01 1.800E+02 
36 63 99 0.42 12.362 2.726E-02 4.000E-02 
71 111 182 0.28 4.170 3.427E+01 1.200E+02 
16 28 44 -0.24 11.181 6.153E-02 1.000E-01 
25 36 61 0.21 7.178 2.553E+00 6.700E-01 
55 86 141 0.15 5.255 2.407E+00 2.484E+01 
61 92 153 0.34 1.912 3.063E+02 3.150E+02 
23 38 61 -0.02 11.969 3.867E-02 4.700E-02 
26 36 62 0.13 2.546 3.665E+02 6.800E+01 
45 80 125 0.00 12.120 4.538E-02 2.650E-02 
43 78 121 -0.02 13.267 1.736E-02 2.200E-02 
65 101 166 0.35 4.700 5.669E+00 2.510E+01 
40 65 105 0.41 8.451 1.435E-01 6.700E-01 
28 45 73 0.00 8.879 3.929E-01 8.400E-01 
37 52 89 0.08 4.497 3.987E+01 9.090E+02 
88 145 233 0.26 3.026 6.549E+00 3.000E+01 
81 130 211 0.00 4.415 2.373E+01 1.000E+02 
47 81 128 0.03 12.622 5.188E-01 5.900E-02 
47 78 125 0.03 8.828 3.227E-01 1.500E-01 
